Position,Genre,Age,Nationality,Needs to be relocated,Years of experience,Number of previous companies,Desired salary,Interested in freelance positions,Interested in permanent positions,Human resource score,Tech score,Exam score,Average score,Offer,Hired
Software architect,Female,34,Turkish,True,10,2,55000,False,True,0,0,2,0.67,,
Software developer,Female,33,Turkish,False,9,8,29000,True,False,1,1,2,1.33,25927,False
Software architect,Male,32,Spanish,False,10,5,55000,False,False,0,1,3,1.33,49233,True
Software developer,Female,37,Brazilian,False,9,4,29000,False,True,0,0,0,0.0,,
Software developer,Male,37,British,True,9,3,29000,True,False,2,1,4,2.33,24561,False
Software developer,Female,38,Spanish,False,9,2,29000,False,False,4,0,1,1.67,26931,False
Software architect,Male,36,French,True,10,7,55000,True,False,1,3,2,2.0,51722,True
Software developer,Female,38,British,False,9,7,29000,False,False,2,4,0,2.0,24079,False
Devops,Female,37,Turkish,True,12,11,48000,False,False,3,3,2,2.67,41028,False
Sysops,Male,29,Spanish,False,7,6,273000,True,False,2,4,1,2.33,222344,True
Software engineer,Male,28,Italian,False,3,2,38000,False,False,1,2,1,1.33,37725,True
Sysops,Male,32,Indian,False,7,2,273000,False,True,1,0,2,1.0,233909,False
Scrum master,Female,45,Portuguese,False,19,3,47000,False,False,3,0,2,1.67,43339,True
Devops,Male,40,French,False,12,7,48000,False,False,3,1,3,2.33,43978,True
Software engineer,Female,31,Brazilian,True,3,1,38000,False,False,2,4,2,2.67,31855,True
Software engineer,Female,30,British,True,3,2,38000,False,True,2,4,3,3.0,37227,False
Software engineer,Male,28,Portuguese,True,3,1,38000,False,True,4,4,4,4.0,30436,True
Software architect,Male,38,French,False,10,2,55000,True,False,3,3,4,3.33,50661,True
Software architect,Female,37,Brazilian,False,10,6,55000,False,True,2,2,0,1.33,53868,True
Scrum master,Female,41,British,False,19,8,47000,True,True,3,0,2,1.67,46671,True
Product owner,Female,35,Indian,False,12,8,40000,False,False,0,3,4,2.33,35466,False
Software architect,Female,32,Turkish,True,10,7,55000,False,True,4,0,2,2.0,48139,True
Devops,Male,35,Turkish,False,12,3,48000,False,False,3,0,3,2.0,42252,True
Sysops,Male,30,Italian,False,7,2,273000,False,False,2,3,0,1.67,262668,False
Software architect,Male,36,Irish,False,10,7,55000,True,True,3,1,1,1.67,52910,False
Software engineer,Male,31,Italian,False,3,1,38000,False,False,0,2,0,0.67,,
Product owner,Female,41,Brazilian,True,12,3,40000,False,True,2,2,2,2.0,37177,True
Scrum master,Male,45,French,True,19,13,47000,False,False,2,2,1,1.67,45984,False
Software architect,Female,35,Irish,False,10,1,55000,False,False,2,3,4,3.0,50593,False
Sysops,Male,34,British,True,7,6,273000,False,False,3,0,3,2.0,238781,True
Sysops,Female,29,Irish,True,7,3,273000,False,False,1,0,4,1.67,240023,True
Scrum master,Female,42,Portuguese,False,19,2,47000,False,False,4,2,1,2.33,44480,True
Scrum master,Male,44,British,True,19,15,47000,False,True,4,2,4,3.33,44013,True
Scrum master,Female,41,Italian,False,19,2,47000,False,False,2,1,2,1.67,42938,False
CTO,Female,42,Indian,False,20,16,70000,True,True,3,1,3,2.33,66391,False
Software engineer,Female,26,Irish,False,3,2,38000,False,True,4,0,1,1.67,31629,True
Sysops,Female,35,Turkish,True,7,1,273000,False,False,4,4,3,3.67,260065,False
Scrum master,Female,41,British,True,19,3,47000,False,True,0,1,1,0.67,,
Software developer,Female,35,Spanish,True,9,6,29000,True,False,2,0,4,2.0,27989,True
Software architect,Male,36,Brazilian,False,10,3,55000,False,True,0,4,0,1.33,49312,True
Scrum master,Male,45,Irish,True,19,5,47000,True,True,2,1,1,1.33,39118,False
Software engineer,Male,30,Italian,False,3,1,38000,False,False,4,1,4,3.0,34342,False
Scrum master,Female,43,Portuguese,True,19,6,47000,False,True,1,0,2,1.0,40998,True
Software architect,Male,37,Turkish,False,10,8,55000,True,False,1,3,2,2.0,51085,False
Product owner,Male,38,Brazilian,False,12,9,40000,False,True,3,3,4,3.33,39665,True
Scrum master,Male,47,Indian,False,19,10,47000,False,True,2,2,4,2.67,38299,True
Devops,Female,40,British,True,12,7,48000,True,False,1,3,4,2.67,46650,False
Sysops,Female,35,Turkish,False,7,6,273000,False,False,1,0,1,0.67,,
CTO,Male,45,French,False,20,10,70000,False,True,3,2,4,3.0,59203,True
Devops,Male,35,French,False,12,2,48000,True,False,3,0,0,1.0,43796,False
Product owner,Female,36,Italian,True,12,7,40000,False,False,2,2,1,1.67,33002,True
Software architect,Male,37,Turkish,True,10,9,55000,False,False,2,1,1,1.33,44454,True
Product owner,Male,34,Brazilian,False,12,6,40000,False,True,0,2,3,1.67,36140,False
Software architect,Male,38,Portuguese,False,10,9,55000,False,True,2,3,2,2.33,52138,False
Software developer,Female,34,Indian,False,9,5,29000,False,False,2,3,0,1.67,24223,True
Product owner,Male,38,Italian,False,12,8,40000,True,False,1,3,3,2.33,32322,False
Devops,Female,37,Turkish,False,12,2,48000,False,True,0,2,0,0.67,,
Software engineer,Female,31,Brazilian,False,3,2,38000,True,True,1,2,1,1.33,35116,False
Software architect,Female,37,Irish,False,10,1,55000,False,False,3,1,2,2.0,47265,False
Product owner,Male,35,British,True,12,11,40000,False,False,0,1,4,1.67,37444,False
Software developer,Male,33,Indian,False,9,7,29000,False,False,4,2,0,2.0,26314,True
Software architect,Female,32,Turkish,False,10,4,55000,False,True,0,0,3,1.0,50972,False
Sysops,Male,34,Spanish,False,7,6,273000,False,True,3,2,3,2.67,223133,False
Product owner,Female,41,French,False,12,2,40000,False,True,2,2,4,2.67,38199,True
Sysops,Male,29,Brazilian,False,7,2,273000,False,True,3,4,1,2.67,270074,False
CTO,Female,47,Brazilian,True,20,9,70000,False,True,2,2,3,2.33,60628,False
Devops,Male,37,Turkish,True,12,7,48000,False,True,4,0,0,1.33,47341,False
Scrum master,Female,46,Italian,True,19,5,47000,False,False,1,1,3,1.67,41301,False
CTO,Female,45,French,False,20,17,70000,False,True,2,4,1,2.33,63801,False
Software developer,Male,35,Portuguese,False,9,6,29000,True,False,1,4,4,3.0,24190,True
Software architect,Male,34,French,False,10,1,55000,False,False,4,2,1,2.33,53694,True
Sysops,Male,34,Turkish,False,7,5,273000,False,False,2,1,4,2.33,253405,True
Software developer,Male,35,Turkish,False,9,4,29000,False,False,1,3,0,1.33,25453,True
Scrum master,Female,42,Indian,False,19,5,47000,False,False,4,4,2,3.33,40509,False
Software engineer,Male,31,Irish,True,3,2,38000,False,False,0,3,1,1.33,35355,True
Software architect,Female,38,Portuguese,True,10,2,55000,True,True,4,1,2,2.33,44602,False
CTO,Male,48,Irish,False,20,5,70000,False,True,0,1,4,1.67,66055,False
Devops,Female,36,Brazilian,False,12,3,48000,False,True,0,0,2,0.67,,
Product owner,Male,39,Turkish,False,12,1,40000,False,False,2,3,4,3.0,33107,True
Software architect,Female,39,French,True,10,7,55000,False,True,1,4,4,3.0,45940,True
Software engineer,Female,26,Italian,False,3,2,38000,False,True,0,2,2,1.33,37634,False
Software engineer,Male,28,Brazilian,False,3,2,38000,True,False,1,0,3,1.33,30524,True
Devops,Male,39,Turkish,False,12,8,48000,True,False,4,2,3,3.0,43373,True
Software engineer,Female,31,Indian,True,3,2,38000,False,True,4,3,4,3.67,32043,False
Software architect,Male,34,Spanish,False,10,3,55000,True,True,0,4,3,2.33,45487,True
CTO,Female,49,Spanish,False,20,19,70000,True,False,4,0,3,2.33,69931,False
Product owner,Male,36,Italian,False,12,4,40000,False,False,4,0,1,1.67,34633,False
Software architect,Female,34,Portuguese,False,10,8,55000,False,True,0,0,0,0.0,,
Software architect,Female,35,Portuguese,False,10,6,55000,True,False,3,2,2,2.33,52248,True
Software architect,Male,37,Italian,True,10,3,55000,False,True,2,3,0,1.67,53531,True
Product owner,Male,41,British,False,12,5,40000,True,False,0,3,0,1.0,35031,True
Scrum master,Male,47,Italian,False,19,1,47000,False,False,1,0,1,0.67,,
Software architect,Male,34,Indian,False,10,5,55000,False,False,4,4,2,3.33,52114,True
CTO,Female,44,Spanish,True,20,12,70000,False,True,2,4,2,2.67,56486,False
Scrum master,Male,46,British,False,19,18,47000,False,False,4,1,4,3.0,43448,True
Software engineer,Male,29,Spanish,False,3,2,38000,False,False,0,4,4,2.67,30508,True
Software developer,Female,38,Indian,False,9,7,29000,False,False,0,3,4,2.33,25020,False
Software engineer,Male,26,Spanish,True,3,2,38000,False,True,4,0,1,1.67,32233,False
Sysops,Female,32,Irish,False,7,5,273000,False,False,2,4,2,2.67,235538,False
Scrum master,Male,42,Turkish,False,19,16,47000,True,False,4,1,1,2.0,39832,False
Product owner,Male,39,Indian,False,12,9,40000,False,False,2,2,1,1.67,33796,True
Software engineer,Male,26,French,False,3,1,38000,False,True,3,0,1,1.33,31373,True
Product owner,Male,41,Irish,False,12,6,40000,False,False,0,4,2,2.0,39123,True
Sysops,Female,35,Turkish,False,7,2,273000,False,False,2,0,1,1.0,236356,True
Software developer,Male,37,Brazilian,False,9,4,29000,False,True,4,1,1,2.0,27535,False
Software engineer,Male,26,Indian,False,3,1,38000,False,False,1,4,1,2.0,34630,False
Software developer,Female,36,Portuguese,False,9,5,29000,False,True,1,4,3,2.67,26104,True
Devops,Male,34,Indian,True,12,7,48000,False,True,2,4,3,3.0,47112,False
Software architect,Male,37,Irish,False,10,8,55000,False,True,0,1,1,0.67,,
Software architect,Female,32,Portuguese,True,10,7,55000,False,False,1,1,2,1.33,49897,True
Software engineer,Female,28,British,False,3,2,38000,False,True,0,2,0,0.67,,
Software developer,Female,37,Brazilian,True,9,4,29000,False,True,4,3,0,2.33,25416,True
CTO,Male,43,British,False,20,5,70000,False,True,4,3,0,2.33,64987,False
Product owner,Female,41,Italian,True,12,2,40000,False,False,0,1,1,0.67,,
Sysops,Male,32,French,False,7,5,273000,False,False,4,3,1,2.67,246371,False
Software engineer,Female,25,Italian,True,3,2,38000,False,False,2,0,2,1.33,33282,False
Devops,Female,34,Turkish,False,12,10,48000,True,False,0,4,3,2.33,38885,True
Scrum master,Male,47,Italian,False,19,12,47000,False,True,1,1,0,0.67,,
Scrum master,Male,41,Spanish,False,19,15,47000,False,False,3,1,3,2.33,38665,False
CTO,Female,44,British,False,20,3,70000,True,False,0,4,4,2.67,59320,False
Software developer,Female,33,Irish,False,9,5,29000,False,True,3,4,0,2.33,28140,True
Software engineer,Female,26,Turkish,False,3,1,38000,False,True,3,0,3,2.0,31401,True
Software architect,Female,33,French,True,10,6,55000,False,True,4,2,3,3.0,51605,True
Product owner,Male,35,British,False,12,8,40000,True,False,1,4,2,2.33,39016,True
Sysops,Male,29,Italian,False,7,6,273000,True,False,0,4,4,2.67,221006,True
Software architect,Male,34,Indian,True,10,2,55000,False,True,0,0,4,1.33,50346,False
Software architect,Male,37,Portuguese,True,10,7,55000,False,False,0,0,4,1.33,44450,False
Software architect,Male,37,Italian,False,10,9,55000,False,False,2,2,3,2.33,49293,True
Software developer,Female,35,Brazilian,False,9,2,29000,False,True,0,1,2,1.0,28874,False
Product owner,Male,35,Indian,False,12,11,40000,True,True,0,3,0,1.0,38045,True
Software developer,Male,33,Irish,False,9,8,29000,False,False,4,4,4,4.0,27085,False
Devops,Male,34,French,False,12,1,48000,True,False,0,0,2,0.67,,
Software architect,Female,39,Turkish,False,10,8,55000,False,True,4,3,4,3.67,48882,True
Software engineer,Female,25,Brazilian,False,3,2,38000,False,True,4,2,0,2.0,36026,True
Devops,Female,41,French,True,12,4,48000,True,True,2,2,0,1.33,44130,True
Product owner,Female,39,British,False,12,1,40000,True,True,0,4,3,2.33,39017,False
Software engineer,Male,28,Brazilian,True,3,2,38000,False,True,1,3,0,1.33,37617,False
Software developer,Female,31,Irish,False,9,3,29000,False,False,0,0,4,1.33,28662,False
Sysops,Female,29,Portuguese,False,7,2,273000,True,True,0,2,4,2.0,254660,True
Software architect,Female,34,Irish,False,10,5,55000,False,False,3,1,4,2.67,50407,True
Software architect,Male,37,Spanish,True,10,4,55000,False,False,4,0,1,1.67,49605,True
Software architect,Male,36,Portuguese,False,10,4,55000,False,True,2,0,1,1.0,53208,False
Software architect,Female,39,Indian,True,10,3,55000,False,False,3,1,3,2.33,49003,True
Product owner,Female,39,Brazilian,False,12,8,40000,True,True,4,2,4,3.33,36592,True
Scrum master,Female,47,British,False,19,5,47000,False,True,3,1,3,2.33,37908,True
Software architect,Female,36,Portuguese,True,10,9,55000,False,False,1,1,2,1.33,48419,True
Sysops,Male,29,Spanish,False,7,3,273000,False,True,2,0,2,1.33,237708,True
Software engineer,Male,29,British,False,3,1,38000,True,True,3,0,2,1.67,32551,False
Software engineer,Male,29,Indian,True,3,1,38000,False,True,4,0,4,2.67,37838,True
Scrum master,Male,46,French,False,19,1,47000,False,False,2,2,3,2.33,39139,True
CTO,Female,49,Spanish,True,20,3,70000,False,False,2,2,4,2.67,59640,False
Software engineer,Male,25,British,False,3,2,38000,False,True,0,4,0,1.33,36669,False
Product owner,Male,37,Turkish,False,12,9,40000,True,False,4,3,2,3.0,38917,False
Scrum master,Female,43,Italian,False,19,2,47000,False,True,3,2,2,2.33,41597,True
Product owner,Female,38,British,False,12,9,40000,False,False,1,4,1,2.0,36066,True
Software engineer,Female,29,British,True,3,2,38000,False,True,2,3,0,1.67,37811,False
Scrum master,Male,43,Turkish,False,19,12,47000,False,True,1,3,0,1.33,40705,True
Product owner,Female,34,Italian,False,12,7,40000,False,False,1,0,1,0.67,,
Software architect,Male,32,Irish,False,10,7,55000,True,False,4,3,3,3.33,52071,False
Software developer,Female,34,British,True,9,1,29000,False,True,1,2,0,1.0,27328,True
Sysops,Male,35,Irish,False,7,5,273000,False,False,4,4,3,3.67,238480,True
CTO,Female,43,Turkish,False,20,12,70000,True,True,1,1,4,2.0,67884,False
Product owner,Male,40,Spanish,True,12,11,40000,False,True,1,0,4,1.67,37797,False
Software architect,Female,35,Spanish,False,10,3,55000,False,True,0,3,1,1.33,52968,False
Scrum master,Female,41,Brazilian,False,19,8,47000,True,True,0,3,3,2.0,41106,True
CTO,Female,44,Turkish,False,20,12,70000,False,True,0,1,1,0.67,,
CTO,Male,42,Portuguese,False,20,7,70000,False,False,0,3,4,2.33,57327,False
Devops,Female,36,British,False,12,9,48000,False,False,0,4,1,1.67,46266,False
Sysops,Female,29,Indian,False,7,2,273000,True,True,2,4,1,2.33,245491,False
Software engineer,Male,31,Portuguese,True,3,1,38000,False,False,2,0,4,2.0,35152,True
Product owner,Male,40,Brazilian,True,12,4,40000,False,False,0,1,0,0.33,,
Software architect,Female,37,Irish,True,10,4,55000,False,True,2,2,4,2.67,48192,True
Software architect,Male,34,British,False,10,7,55000,False,False,4,3,0,2.33,51975,False
Product owner,Male,40,Turkish,False,12,2,40000,False,False,1,4,0,1.67,34985,True
CTO,Male,45,Italian,False,20,9,70000,False,True,3,0,4,2.33,67294,False
CTO,Female,42,Turkish,False,20,5,70000,False,True,2,0,3,1.67,69765,True
Software architect,Male,34,French,False,10,6,55000,False,True,2,3,2,2.33,44998,False
Software engineer,Male,25,Brazilian,False,3,2,38000,False,True,3,1,2,2.0,36183,False
Product owner,Female,41,Brazilian,False,12,7,40000,False,True,0,2,2,1.33,35383,True
Product owner,Female,36,Spanish,False,12,4,40000,False,True,3,2,0,1.67,36358,False
Software engineer,Female,27,Irish,False,3,2,38000,False,False,3,1,0,1.33,35059,True
Software engineer,Male,27,Brazilian,True,3,1,38000,True,True,4,3,2,3.0,32276,False
CTO,Male,45,British,False,20,9,70000,False,True,4,4,0,2.67,56647,True
Software architect,Male,36,French,False,10,3,55000,False,False,3,3,0,2.0,47048,True
CTO,Male,46,Spanish,False,20,12,70000,False,True,2,1,0,1.0,59303,True
Software developer,Male,36,Spanish,False,9,7,29000,False,False,2,2,1,1.67,25714,True
Software architect,Male,32,Irish,False,10,2,55000,False,True,1,1,2,1.33,52643,True
Software engineer,Male,32,Brazilian,False,3,2,38000,False,True,4,4,1,3.0,37794,False
Scrum master,Female,42,Brazilian,False,19,13,47000,True,True,4,4,4,4.0,41066,True
CTO,Male,49,Portuguese,False,20,3,70000,False,True,0,1,2,1.0,56522,False
Software developer,Female,34,French,True,9,5,29000,True,True,0,2,4,2.0,27036,True
Software engineer,Male,27,Italian,True,3,1,38000,True,True,3,3,4,3.33,34622,True
Scrum master,Female,48,Portuguese,True,19,3,47000,True,False,2,3,3,2.67,43549,False
Software architect,Male,37,Brazilian,True,10,6,55000,False,True,1,3,3,2.33,54595,True
CTO,Female,43,Turkish,False,20,16,70000,True,False,4,0,3,2.33,58591,False
Product owner,Male,36,French,False,12,6,40000,False,False,1,2,4,2.33,39786,False
Scrum master,Male,46,Indian,False,19,8,47000,False,True,0,4,0,1.33,41967,False
Product owner,Male,39,Indian,True,12,11,40000,False,False,1,1,3,1.67,39262,False
Software engineer,Female,29,British,True,3,2,38000,False,True,4,2,2,2.67,37918,True
Sysops,Female,33,Portuguese,False,7,2,273000,False,False,1,4,3,2.67,237695,False
Software engineer,Male,25,Irish,False,3,2,38000,True,True,0,1,2,1.0,33393,True
Software architect,Male,34,Portuguese,False,10,9,55000,False,True,4,2,3,3.0,47001,False
Software engineer,Male,25,Spanish,False,3,1,38000,False,False,3,3,2,2.67,37473,True
Devops,Male,38,French,False,12,7,48000,False,False,2,1,0,1.0,42038,False
Scrum master,Male,48,French,True,19,18,47000,True,False,0,3,4,2.33,37826,False
Software developer,Female,31,Spanish,True,9,7,29000,False,False,4,0,2,2.0,27433,True
Product owner,Female,35,British,True,12,4,40000,False,True,0,3,0,1.0,35940,False
Software architect,Female,38,Spanish,False,10,2,55000,False,True,4,1,2,2.33,53617,True
Software architect,Female,37,Italian,False,10,7,55000,False,False,2,0,0,0.67,,
Scrum master,Male,46,Turkish,False,19,4,47000,True,False,1,4,1,2.0,44157,True
Scrum master,Male,46,Indian,False,19,4,47000,True,False,2,2,4,2.67,45697,True
Devops,Female,36,Brazilian,False,12,8,48000,False,False,3,3,4,3.33,42134,False
Scrum master,Female,47,Italian,False,19,11,47000,False,False,0,4,4,2.67,38333,True
Software architect,Male,39,Indian,False,10,5,55000,False,False,2,2,1,1.67,46441,False
Software engineer,Male,26,Italian,False,3,1,38000,True,True,0,1,3,1.33,31875,True
Software architect,Female,39,Italian,False,10,3,55000,False,True,1,4,1,2.0,45991,False
CTO,Female,42,Turkish,False,20,13,70000,True,True,4,1,4,3.0,60688,True
Software architect,Male,32,Indian,False,10,7,55000,False,False,0,4,1,1.67,44528,False
Software architect,Male,33,Portuguese,True,10,3,55000,False,True,3,1,3,2.33,47986,True
CTO,Female,46,Portuguese,False,20,3,70000,False,False,0,2,2,1.33,58381,False
Software developer,Male,35,Turkish,False,9,1,29000,False,False,2,1,0,1.0,27315,False
Scrum master,Male,43,Italian,False,19,4,47000,False,False,4,4,3,3.67,41403,True
Software developer,Female,37,Italian,True,9,7,29000,False,False,1,4,3,2.67,27777,False
Software engineer,Female,30,Spanish,True,3,2,38000,False,True,4,3,2,3.0,35493,False
Software engineer,Male,30,Spanish,False,3,1,38000,True,False,4,1,4,3.0,32967,True
Software architect,Male,39,Spanish,False,10,8,55000,False,True,1,3,0,1.33,48146,True
CTO,Male,47,Italian,False,20,6,70000,False,True,3,3,4,3.33,62551,True
Product owner,Female,34,Portuguese,False,12,8,40000,False,True,1,0,4,1.67,39526,False
Scrum master,Female,42,Turkish,True,19,10,47000,True,False,4,1,2,2.33,38224,True
Product owner,Male,39,Italian,False,12,10,40000,False,False,1,2,1,1.33,37612,True
Sysops,Female,29,Spanish,False,7,5,273000,False,True,3,1,2,2.0,245617,False
Sysops,Female,34,Brazilian,False,7,4,273000,False,False,2,2,4,2.67,229725,True
Product owner,Female,40,British,True,12,8,40000,True,True,2,3,2,2.33,38421,True
Product owner,Male,35,British,False,12,8,40000,True,True,3,3,2,2.67,35844,False
Software architect,Female,38,French,False,10,8,55000,False,False,3,2,3,2.67,53292,False
Software architect,Female,38,Portuguese,False,10,7,55000,False,False,0,2,2,1.33,49519,True
Software developer,Female,37,British,True,9,3,29000,False,True,2,0,2,1.33,25563,True
Software developer,Male,32,French,False,9,7,29000,False,True,3,2,2,2.33,24331,False
Scrum master,Female,48,Turkish,False,19,13,47000,False,True,4,0,0,1.33,44566,False
Software architect,Male,37,French,False,10,7,55000,False,False,3,1,3,2.33,51319,False
Software architect,Female,38,Irish,False,10,1,55000,False,True,4,2,2,2.67,53688,True
Software developer,Female,37,British,False,9,7,29000,False,True,0,3,4,2.33,24180,True
